,eta
0,-0.14600378477089412
1,-0.12722616711987514
2,-0.12021268058978021
3,-0.13707442979483989
4,-0.15122698784862554
5,-0.1564379330193616
6,-0.14088354583182966
7,-0.13973204907727904
8,-0.14581738667027302
9,-0.13703863984657128
10,-0.11676596142157665
11,-0.14628904687725008
12,-0.1283819274948317
13,-0.13892090817349959
14,-0.12334278147175741
15,-0.1410649059720475
16,-0.14717501193183136
17,-0.1318559661273568
18,-0.13683634633944441
19,-0.1511405871778925
20,-0.13765301975477245
21,-0.1258702003438863
22,-0.14060272247635347
23,-0.1449701631175026
24,-0.12687164206312002
25,-0.12257517530344703
26,-0.14895373253548602
27,-0.14545994920844607
28,-0.13142426336121382
29,-0.12479031738805867
30,-0.15180459191134313
31,-0.1396731372620849
32,-0.14157172137750887
33,-0.12731428445156429
34,-0.18598113601861954
35,-0.1513566094395681
36,-0.13667701033872978
37,-0.15079363907250173
38,-0.14487406486592175
39,-0.15530667653041624
40,-0.13473528871288004
41,-0.16612487293506217
42,-0.1521132765422873
43,-0.13727875315556837
44,-0.12072372737161668
45,-0.14918391713003137
46,-0.15652978134618986
47,-0.15505127148437334
48,-0.1507460721234685
49,-0.12654880221336134
50,-0.14586823528606502
51,-0.12854912421746956
52,-0.16881347587433956
53,-0.12768467862637908
54,-0.1232096594418098
55,-0.1307564940043952
56,-0.14861965924151047
57,-0.13245039214911503
58,-0.12626683903605915
59,-0.13983682123409336
60,-0.13414616901694632
61,-0.14918122786345733
62,-0.12718878014257756
63,-0.13882021478908502
64,-0.15745772530581878
65,-0.1546228280253732
66,-0.12309902752239639
67,-0.16399691854954532
68,-0.14106172515398105
69,-0.1420409521400904
70,-0.1351515042404387
71,-0.14372460672432533
72,-0.15711868720955052
73,-0.15957024760167238
74,-0.12066237562151721
75,-0.14502078801634372
76,-0.12419265294975922
77,-0.1588879827936019
78,-0.13060702779617445
79,-0.13950643381087185
80,-0.13743757126804695
81,-0.15807693626920877
82,-0.13513679967568207
83,-0.13836522393330977
84,-0.132854498044134
85,-0.15267605726860906
86,-0.14088713213517592
87,-0.1450093026163027
88,-0.12814051875190666
89,-0.14881692233928456
90,-0.14316643526478667
91,-0.13899867645001332
92,-0.12201844925917639
93,-0.1606499853455892
94,-0.15180136352492332
95,-0.14806411437002726
96,-0.14372525421324747
97,-0.1361078671151409
98,-0.14118460744506425
99,-0.1525860935950957
100,-0.14792639747139108
101,-0.13860761401563051
102,-0.14186092784217713
103,-0.15092913060780128
104,-0.15813957888618657
105,-0.15016418350852367
106,-0.1349314581777351
107,-0.15783089823243926
108,-0.13658084407414828
109,-0.14054376727363996
110,-0.15537715620401335
111,-0.17100440395923966
112,-0.13860180124679827
113,-0.15643291461454642
114,-0.13654955828486792
115,-0.1528411149068138
116,-0.14282403368638105
117,-0.15047846939402024
118,-0.14565246702954956
119,-0.16513018099486299
120,-0.15481445836586513
121,-0.14911464458741747
122,-0.1269025274991961
123,-0.13728155432454417
124,-0.1576981106583877
125,-0.11524189812797686
126,-0.1378851805764177
127,-0.15723626892111733
128,-0.15220132381246335
129,-0.12162086400055691
130,-0.13890536167701578
131,-0.14844424624798067
132,-0.1406356351804853
133,-0.11508059503695864
134,-0.14523920419029962
135,-0.14438328606861994
136,-0.13556823860346934
137,-0.15928985038049318
138,-0.165838570161926
139,-0.1329496540429527
140,-0.11955354009277555
141,-0.1459467038534564
142,-0.1511545703062085
143,-0.14275790054299145
144,-0.14434704524386938
145,-0.14892172132994416
146,-0.1433301698425899
147,-0.1445939943221214
148,-0.14678501383634185
149,-0.15160911584459363
150,-0.14630499702394978
151,-0.12890489618759232
152,-0.13316605660791714
153,-0.17796657759547013
154,-0.16925958005166353
155,-0.1596402701523572
156,-0.16067785347709443
157,-0.17744275713796676
158,-0.16447943449405658
159,-0.16492679427548462
160,-0.11790620544641797
161,-0.17544722447427583
162,-0.15842722807503018
163,-0.17026606361319407
164,-0.11909316401701105
165,-0.17611597433459023
166,-0.1400361929339716
167,-0.13331758034197735
168,-0.11998701520591115
169,-0.15800358939826636
170,-0.15673694986727235
171,-0.13208080906172748
172,-0.14222022729683134
173,-0.15724544207096644
174,-0.14160453546157795
175,-0.14670207825899326
176,-0.12214304102960657
177,-0.1337356171072951
178,-0.13512756131584308
179,-0.14401525758292866
180,-0.12557625237375453
181,-0.14381837326959887
182,-0.13100873900674312
183,-0.133968930863973
184,-0.11401866832383946
185,-0.15947320065986104
186,-0.1260900911118146
187,-0.1596525992698372
188,-0.12461875280486072
189,-0.1438255805025797
190,-0.14802400501351354
191,-0.1403251786957244
192,-0.11808310440086142
193,-0.1389507152818896
194,-0.15790257205270647
195,-0.12030551852242208
196,-0.14314377812775014
197,-0.1772435910670752
198,-0.15064179434239508
199,-0.1425514639967925
200,-0.13682794721533018
201,-0.1491517377704457
202,-0.1539460367798249
203,-0.14335712834246989
204,-0.14043879288505806
205,-0.1424805002071328
206,-0.14823304824622321
207,-0.14084534438124643
208,-0.14882077281074832
209,-0.1565333836438394
210,-0.15395498054561058
211,-0.14272155032797673
212,-0.12782599995864039
213,-0.1538706666193583
214,-0.1516951979963926
215,-0.1425146394494474
216,-0.14718140443423258
217,-0.16056212313948978
218,-0.15879553117995798
219,-0.15708834251814827
220,-0.14486272750594362
221,-0.1518213616389942
222,-0.13380223280300638
223,-0.14684481176212294
224,-0.15492264540646347
225,-0.12417372078796406
226,-0.09677721154624198
227,-0.13647946756168877
228,-0.14017753752819048
229,-0.11306271004071884
230,-0.14579462335633184
231,-0.1435901318178885
232,-0.16307208013995933
233,-0.10883235311097889
234,-0.12818663401690358
235,-0.14964871254586176
236,-0.1459430459274474
237,-0.16240856816347093
238,-0.12173664021278732
239,-0.12661417007701153
240,-0.15615214356701826
241,-0.12762669960436085
242,-0.12128459139654556
243,-0.12720912200415332
244,-0.1609326037818985
245,-0.12789042094677883
246,-0.14935662389413934
247,-0.14084366118805214
248,-0.16727058515292875
249,-0.15101788949521883
250,-0.15490555825595367
251,-0.1753637535475392
252,-0.16218757097140668
253,-0.143112815443611
254,-0.13618056355119862
255,-0.16854729545889338
256,-0.15479865866421724
257,-0.13617340409766288
258,-0.12933709484566094
259,-0.1433646609187533
260,-0.16275480790459235
261,-0.12812967010795587
262,-0.12869873037397347
263,-0.1428507707363548
264,-0.1732700476677547
265,-0.13818084821967605
266,-0.12971448919697257
267,-0.15499545993237818
268,-0.15816040507745383
269,-0.14899710601020985
