eta,rate
33.8396,0.01
33.428,0.01259
33.1183,0.01585
33.0918,0.01995
33.4599,0.02512
33.3963,0.03162
33.3092,0.03981
33.3191,0.05012
33.3487,0.0631
33.27,0.07943
33.2233,0.1
33.1464,0.12589
33.0519,0.15849
32.8754,0.19953
32.7888,0.25119
32.5552,0.31623
32.2828,0.39811
31.9668,0.50119
31.6026,0.63096
31.1351,0.79433
30.5349,1
29.9203,1.25893
29.2328,1.58489
28.4977,1.99526
27.6499,2.51189
26.7153,3.16228
25.7246,3.98107
24.7205,5.01188
23.5754,6.30958
22.4075,7.94329
21.884,10
20.3705,12.5893
18.943,15.8489
17.3611,19.9526
15.8608,25.1189
14.3798,31.6228
12.8143,39.8108
10.7159,50.1188
7.84942,63.0958
7.54985,79.4329
7.50923,100
