,F,V,R0,eta0,etainf,n,tcr,gamma,alpha,,vexp,r0exp,eta0exp,etainfexp,nexp,tcrexp
0,8.393873864,-14.54834562,-4.410899686,3.464168023,-7.294029842,-0.259800542,-0.392846858,0.06470525,0.105320771,,4.80545E-07,0.012144247,31.94986714,0.000679584,0.771205394,0.67513213
1,8.449097029,-14.51013804,-4.423433426,3.474908237,-7.315596873,-0.258092436,-0.393334657,0.064022796,0.129126849,,4.9926E-07,0.011992984,32.29486494,0.000665084,0.77252382,0.674802882
2,8.510686506,-14.53231339,-4.335031462,3.47025455,-6.849183391,-0.249709393,-0.482059383,0.063368553,0.129249535,,4.88311E-07,0.013101462,32.14492388,0.001060321,0.779027141,0.617510391
3,8.490587156,-14.53951206,-4.432598232,3.47213389,-7.037784752,-0.260811567,-0.259893919,0.065699677,0.141155678,,4.84808E-07,0.011883573,32.20539193,0.00087807,0.770426079,0.771133384
4,8.478553683,-14.56107077,-4.401368974,3.458784577,-6.534004806,-0.250680687,-0.351211486,0.066921813,0.109332123,,4.74468E-07,0.012260544,31.77832893,0.001453174,0.778270844,0.703834887
5,8.310306708,-14.52775641,-4.48061642,3.472112227,-6.782819224,-0.263782094,-0.338379828,0.070929269,0.050544226,,4.90541E-07,0.011326429,32.20469428,0.001133076,0.768140904,0.712924448
6,8.494202141,-14.53253461,-4.349860761,3.467944468,-7.302278654,-0.254671971,-0.351757657,0.068091491,0.103278707,,4.88203E-07,0.01290861,32.07075218,0.000674001,0.775170735,0.703450578
7,8.602511979,-14.56289303,-4.353490994,3.464799267,-6.770485228,-0.254448338,-0.356527524,0.068762118,0.00898499,,4.73605E-07,0.012861834,31.97004169,0.001147138,0.775344108,0.700103201
8,8.418879806,-14.55229832,-4.447804206,3.463327436,-7.32989827,-0.254671242,-0.386231379,0.065195849,0.276765645,,4.78649E-07,0.011704239,31.9230218,0.00065564,0.7751713,0.679613259
9,8.437925487,-14.51071858,-4.380918052,3.481533355,-6.610239951,-0.259335343,-0.300507506,0.060689151,0.493334986,,4.98971E-07,0.012513865,32.50953253,0.001346509,0.771564241,0.740442346
10,8.484061023,-14.55237499,-4.406576945,3.471317244,-7.363233189,-0.259258682,-0.412690178,0.066564657,0.145257557,,4.78612E-07,0.012196857,32.17910226,0.000634145,0.771623392,0.661867312
11,8.596971572,-14.5350151,-4.410233163,3.472350344,-7.077534996,-0.253456501,-0.478591462,0.067050753,0.125660048,,4.86993E-07,0.012152345,32.21236369,0.000843851,0.776113504,0.619655586
12,8.353890408,-14.53379344,-4.446789518,3.466552854,-7.046476325,-0.264424368,-0.439695465,0.06778015,0.126563197,,4.87589E-07,0.011716121,32.02615311,0.000870471,0.767647706,0.644232582
13,8.461096359,-14.55657837,-4.404485566,3.466417764,-6.953126751,-0.258789007,-0.334240915,0.063355421,0.213503919,,4.76605E-07,0.012222392,32.02182698,0.000955642,0.771985889,0.715881295
