,F,V,R0,eta,gamma,alpha,,Vexp,R0exp,etaexp
0,8.619871418,-15.68823687,-4.906003572,-0.15917852,0.043667317,0.023872405,,1.53704E-07,0.007402011,0.852844096
1,8.648115268,-15.66165978,-4.904720344,-0.135270783,0.047590186,0.137725994,,1.57844E-07,0.007411515,0.873479356
2,8.495559598,-15.6858483,-4.907911573,-0.148905832,0.040563175,0.093280588,,1.54072E-07,0.007387901,0.861650251
3,8.516260796,-15.66749571,-4.869911747,-0.14013323,0.043890098,0.058811722,,1.56925E-07,0.007674043,0.869242419
4,8.623653455,-15.662851,-4.949626232,-0.132495344,0.041610544,0.095135791,,1.57656E-07,0.007086057,0.875907012
5,8.55112057,-15.70127352,-4.928899786,-0.160034899,0.042757057,0.068584068,,1.51713E-07,0.007234458,0.852114051
6,8.578671029,-15.69835181,-4.90477603,-0.132564829,0.045648032,0.040745124,,1.52157E-07,0.007411103,0.875846152
7,8.687640647,-15.66500058,-4.914657229,-0.102718173,0.040800457,0.050210654,,1.57317E-07,0.007338233,0.902381253
8,8.570235897,-15.69588867,-4.92173493,-0.154917259,0.042142117,0.100810862,,1.52532E-07,0.007286478,0.856486041
9,8.541903525,-15.67913734,-4.913407236,-0.134358655,0.039969492,0.039903972,,1.55109E-07,0.007347411,0.874276444
10,8.626780958,-15.6742797,-4.89908474,-0.145742858,0.042223545,0.059141708,,1.55864E-07,0.007453402,0.864379943
11,8.482138932,-15.68739847,-4.884310171,-0.140066462,0.040826272,0.066454548,,1.53833E-07,0.00756434,0.869300458
12,8.598149868,-15.69379262,-4.917767192,-0.148259231,0.043728293,0.028965043,,1.52852E-07,0.007315447,0.862207575
13,8.543531535,-15.68661337,-4.91621844,-0.110594322,0.039646031,0.054374273,,1.53954E-07,0.007326785,0.89530188
14,8.555786332,-15.67832386,-4.878844412,-0.148020806,0.044600271,0.097771706,,1.55235E-07,0.007605798,0.862413171
15,8.582136884,-15.70529573,-4.908778992,-0.118207991,0.044987063,0.01852037,,1.51104E-07,0.007381496,0.888511231
16,8.595973443,-15.6854533,-4.923230726,-0.154233398,0.041949217,0.064823634,,1.54132E-07,0.007275587,0.857071958
17,8.444802758,-15.69720169,-4.92041517,-0.153606184,0.043614393,0.04609091,,1.52332E-07,0.007296101,0.857609695
18,8.634631666,-15.6880505,-4.91556929,-0.142223172,0.045764588,0.065034925,,1.53733E-07,0.007331543,0.867427649
19,8.60230446,-15.71471775,-4.910296319,-0.124160658,0.043322022,0.066966047,,1.49687E-07,0.007370304,0.88323793
20,8.63048118,-15.73613664,-4.892302925,-0.149603774,0.044792708,0.069795756,,1.46515E-07,0.007504121,0.861049079
21,8.568743185,-15.68154066,-4.870166806,-0.144161929,0.042355369,0.082001457,,1.54737E-07,0.007672085,0.865747547
22,8.70332263,-15.69068768,-4.918202587,-0.132075165,0.041405575,0.032305095,,1.53328E-07,0.007312262,0.876275127
23,8.558274061,-15.68785845,-4.892537888,-0.131102171,0.042489306,0.030157569,,1.53762E-07,0.007502358,0.877128153
24,8.571331521,-15.73006205,-4.910769052,-0.136136983,0.04572406,0.03618277,,1.47408E-07,0.007366821,0.872723076
25,8.578090552,-15.67411623,-4.924435762,-0.11777601,0.039455298,0.060528737,,1.5589E-07,0.007266825,0.888895134
26,8.591284841,-15.66705281,-4.891496729,-0.144763273,0.047921869,0.074228054,,1.56995E-07,0.007510173,0.865227092
27,8.47852464,-15.71635575,-4.918122201,-0.140380556,0.043195967,0.072486426,,1.49442E-07,0.00731285,0.869027459
28,8.602260138,-15.70732481,-4.922539987,-0.150234896,0.045152237,0.065225554,,1.50798E-07,0.007280615,0.860505823
29,8.482429258,-15.67893791,-4.917238852,-0.115776353,0.044672483,0.022025256,,1.5514E-07,0.007319313,0.890674398
30,8.599341798,-15.6950653,-4.904177467,-0.146290999,0.043366864,0.070689998,,1.52658E-07,0.00741554,0.86390627
31,8.5909157,-15.71336401,-4.908187166,-0.144311752,0.041637212,0.101524178,,1.4989E-07,0.007385866,0.865617848
32,8.56642688,-15.71723223,-4.880080009,-0.138039162,0.04341906,0.041819029,,1.49311E-07,0.007596406,0.871064578
33,8.436692728,-15.6638132,-4.930168952,-0.156147724,0.039836732,0.074443103,,1.57504E-07,0.007225282,0.855432813
34,8.703570547,-15.6893253,-4.913656867,-0.121463771,0.048423264,0.016732776,,1.53537E-07,0.007345577,0.885623138
35,8.620581163,-15.69290824,-4.922630544,-0.153045838,0.045899991,0.036245904,,1.52988E-07,0.007279955,0.858090387
36,8.586849451,-15.69184605,-4.955487486,-0.112843911,0.043854626,0.047256702,,1.5315E-07,0.007044645,0.893290082
37,8.593795753,-15.68541075,-4.964136005,-0.141919915,0.041059108,0.030043622,,1.54139E-07,0.006983982,0.867690743
38,8.59037232,-15.70521087,-4.948380022,-0.145239306,0.046914093,0.02226817,,1.51117E-07,0.007094893,0.864815313
39,8.609602901,-15.70597974,-4.922452621,-0.142467636,0.043095676,0.073688576,,1.51001E-07,0.007281251,0.867215621
40,8.626071437,-15.72928337,-4.924420325,-0.160551512,0.047350801,0.043867112,,1.47523E-07,0.007266938,0.851673951
41,8.560308961,-15.71280588,-4.914504901,-0.130537085,0.045385543,0.042795273,,1.49974E-07,0.007339351,0.877623945
42,8.56690977,-15.67639725,-4.916484325,-0.136974709,0.045373535,0.120494545,,1.55535E-07,0.007324837,0.87199228
43,8.523630204,-15.67169875,-4.894027157,-0.148243123,0.041128273,0.080236535,,1.56267E-07,0.007491193,0.862221463
44,8.577331123,-15.71263939,-4.885874308,-0.117822685,0.049811326,0.0406902,,1.49999E-07,0.007552518,0.888853645
45,8.506281866,-15.69342334,-4.914223154,-0.121317386,0.041024464,0.019928206,,1.52909E-07,0.007341419,0.885752789
46,8.64896907,-15.71110474,-4.914182737,-0.142449683,0.04512279,0.03820443,,1.50229E-07,0.007341716,0.86723119
47,8.551395889,-15.72066047,-4.931954992,-0.147086963,0.044977356,0.010446776,,1.488E-07,0.007212389,0.863218906
48,8.596220282,-15.70484396,-4.960690293,-0.122042026,0.043279632,0.087137295,,1.51173E-07,0.007008089,0.88511117
49,8.567111886,-15.67427145,-4.916902905,-0.127098143,0.048405299,0.062990801,,1.55866E-07,0.007321772,0.880647239
50,8.623918468,-15.69145441,-4.920964127,-0.124390467,0.046034018,0.029740355,,1.5321E-07,0.007292097,0.883034978
51,8.60696264,-15.68355673,-4.918974232,-0.140685121,0.043439718,0.0745773,,1.54425E-07,0.007306622,0.868762824
52,8.524690182,-15.70920349,-4.912110169,-0.15552086,0.04847666,0.045946123,,1.50515E-07,0.007356948,0.855969221
53,8.59202198,-15.69551673,-4.909105043,-0.131346942,0.048058903,0.058835382,,1.52589E-07,0.007379089,0.876913484
54,8.451436288,-15.66254441,-4.896416662,-0.142013487,0.042849348,0.113134947,,1.57704E-07,0.007473315,0.867609555
55,8.539225436,-15.65330831,-4.83996212,-0.141638827,0.044984327,0.074293093,,1.59168E-07,0.007907354,0.867934675
56,8.624862933,-15.73396761,-4.900520803,-0.149733555,0.048211722,0.030110477,,1.46833E-07,0.007442706,0.860937338
57,8.503251424,-15.67788621,-4.877425278,-0.129711063,0.043195493,0.036254034,,1.55303E-07,0.007616599,0.878349181
58,8.522952526,-15.72574883,-4.888984029,-0.145083586,0.04225821,0.015448911,,1.48045E-07,0.007529068,0.864949993
59,8.519273647,-15.70729555,-4.922889072,-0.139768067,0.044452493,0.027038375,,1.50802E-07,0.007278074,0.869559892
60,8.680544396,-15.70591957,-4.955689848,-0.126762401,0.047144791,0.105251228,,1.5101E-07,0.00704322,0.880942959
61,8.479438687,-15.64382551,-4.904393155,-0.123061442,0.044657325,0.051204852,,1.60684E-07,0.007413941,0.884209333
62,8.610435979,-15.69734684,-4.925907426,-0.133335399,0.043933851,0.011606581,,1.5231E-07,0.007256139,0.875171512
63,8.574988179,-15.68583844,-4.909745627,-0.145973189,0.045474067,0.042870358,,1.54073E-07,0.007374364,0.864180872
64,8.544450149,-15.69162476,-4.909317659,-0.16054006,0.043576697,0.100669398,,1.53184E-07,0.007377521,0.851683704
65,8.544112137,-15.66381341,-4.911832772,-0.139391835,0.044616754,0.056981368,,1.57504E-07,0.007358989,0.86988711
66,8.662867588,-15.67783902,-4.914927433,-0.135277009,0.044431942,0.109511434,,1.55311E-07,0.00733625,0.873473918
67,8.55262882,-15.70592785,-4.904148177,-0.124875005,0.04022852,0.054180737,,1.51009E-07,0.007415757,0.882607217
68,8.640438133,-15.71889736,-4.907283701,-0.165910229,0.044320684,0.089584447,,1.49063E-07,0.007392541,0.847122278
69,8.497856032,-15.63599957,-4.900156723,-0.126455114,0.044902472,0.096827034,,1.61947E-07,0.007445416,0.881213703
70,8.528524835,-15.70057017,-4.910510443,-0.143757591,0.045052759,0.034419167,,1.5182E-07,0.007368726,0.866097673
71,8.60720749,-15.70790172,-4.942623154,-0.146076435,0.043407736,0.031102435,,1.50711E-07,0.007135855,0.864091654
72,8.522680388,-15.67445622,-4.925560958,-0.156791599,0.046283187,0.102333967,,1.55837E-07,0.007258653,0.854882198
73,8.498862763,-15.70524307,-4.872422246,-0.127522011,0.041045455,0.041982064,,1.51112E-07,0.007654801,0.88027404
74,8.708399092,-15.68823296,-4.921937993,-0.126060664,0.042452775,0.04851122,,1.53705E-07,0.007284999,0.881561366
75,8.687773959,-15.64082084,-4.91110617,-0.104923324,0.049946193,0.094619711,,1.61168E-07,0.007364338,0.900393559
76,8.659921211,-15.69214888,-4.905384276,-0.160685514,0.045137127,0.055604517,,1.53104E-07,0.007406596,0.851559833
77,8.56647096,-15.6939986,-4.923799675,-0.146603913,0.04418885,0.028732928,,1.52821E-07,0.007271449,0.863635984
78,8.598290855,-15.68609497,-4.946024711,-0.126680745,0.044516949,0.106042377,,1.54034E-07,0.007111624,0.881014896
79,8.600761207,-15.72430022,-4.891398519,-0.130415587,0.043332304,0.049438338,,1.4826E-07,0.007510911,0.877730582
80,8.546679874,-15.69667981,-4.915531342,-0.150144039,0.042710319,0.027255898,,1.52412E-07,0.007331821,0.86058401
81,8.455552827,-15.68305292,-4.92335935,-0.141816867,0.042495743,0.057642128,,1.54503E-07,0.007274652,0.867780161
82,8.511033973,-15.71694688,-4.900872074,-0.125307552,0.045462343,0.05210881,,1.49354E-07,0.007440092,0.882225531
83,8.574797312,-15.68232578,-4.9611988,-0.142895867,0.044010388,0.039036649,,1.54615E-07,0.007004526,0.866844331
84,8.443124532,-15.6932462,-4.927241387,-0.139013827,0.044611454,0.078827791,,1.52936E-07,0.007246466,0.870215996
85,8.686039817,-15.68091759,-4.955995192,-0.127095787,0.043669155,0.087735559,,1.54833E-07,0.00704107,0.880649314
86,8.597160864,-15.72777987,-4.91473284,-0.122585531,0.038636954,0.02535956,,1.47745E-07,0.007337678,0.884630239
87,8.657990374,-15.69688536,-4.907545483,-0.13687459,0.045161477,0.052264389,,1.5238E-07,0.007390606,0.872079587
88,8.600320065,-15.71407972,-4.91509157,-0.154693175,0.047501822,0.081189212,,1.49783E-07,0.007335046,0.856677987
89,8.646546589,-15.70402152,-4.906847612,-0.158355306,0.049004863,0.035367729,,1.51297E-07,0.007395766,0.853546458
90,8.551381795,-15.69642684,-4.968998442,-0.13750131,0.043202742,0.061737743,,1.5245E-07,0.006950105,0.871533209
91,8.612714241,-15.71797166,-4.908215667,-0.130013965,0.046838836,0.023386256,,1.49201E-07,0.007385655,0.878083168
92,8.535599393,-15.69929927,-4.907630077,-0.148234534,0.042556841,0.046902773,,1.52013E-07,0.007389981,0.862228869
93,8.497328543,-15.67473025,-4.90641031,-0.133516296,0.043791312,0.067526389,,1.55794E-07,0.007399001,0.87501321
94,8.61891714,-15.69726873,-4.917293861,-0.137632418,0.043498973,0.082374363,,1.52322E-07,0.00731891,0.871418951
95,8.590475599,-15.68315894,-4.961806908,-0.149582466,0.044307822,0.034283688,,1.54487E-07,0.007000268,0.861067426
96,8.443572463,-15.69674009,-4.904931285,-0.141310763,0.046606682,0.057400994,,1.52403E-07,0.007409952,0.868219459
97,8.586125911,-15.68498797,-4.881350569,-0.123501934,0.039890999,0.046175685,,1.54204E-07,0.007586761,0.883819932
98,8.492517198,-15.7239925,-4.898089931,-0.136774775,0.040736172,0.04992905,,1.48305E-07,0.00746082,0.872166638
99,8.611469575,-15.67453525,-4.922583106,-0.129903253,0.045825055,0.038142885,,1.55825E-07,0.007280301,0.878180388
100,8.630038138,-15.71561041,-4.917201136,-0.172087388,0.042581473,0.135787353,,1.49554E-07,0.007319589,0.841905597
101,8.581327509,-15.68958024,-4.861630375,-0.129303039,0.049037702,0.036398217,,1.53498E-07,0.007737858,0.878707642
102,8.603369332,-15.66896176,-4.928153055,-0.113015899,0.043465094,0.098430292,,1.56695E-07,0.007239863,0.89313646
103,8.528122789,-15.70444888,-4.925877172,-0.145444078,0.043954031,0.059971486,,1.51232E-07,0.007256358,0.864638241
104,8.623188868,-15.68087289,-4.918541462,-0.149636133,0.041546734,0.102986248,,1.5484E-07,0.007309785,0.861021217
105,8.616517624,-15.68055866,-4.967134355,-0.142316586,0.043416559,0.110371706,,1.54889E-07,0.006963073,0.867346623
106,8.551529115,-15.66901925,-4.900303526,-0.110134269,0.045485293,0.08251019,,1.56686E-07,0.007444323,0.895713861
107,8.566578725,-15.73220792,-4.956546748,-0.155797246,0.0448917,0.027414753,,1.47092E-07,0.007037187,0.855732676
108,8.472074901,-15.68112196,-4.950623793,-0.12941336,0.041460697,0.090928209,,1.54802E-07,0.007078992,0.878610708
109,8.567070531,-15.67770837,-4.891148014,-0.108899423,0.041669461,0.028066488,,1.55331E-07,0.007512793,0.896820612
110,8.533852841,-15.73112582,-4.881408663,-0.156837683,0.045498234,0.019157784,,1.47251E-07,0.00758632,0.854842803
111,8.58366757,-15.68429865,-4.952450449,-0.165210323,0.044505146,0.104448528,,1.54311E-07,0.007066073,0.847715391
112,8.561082665,-15.69941361,-4.914506247,-0.136047592,0.039585422,0.130952495,,1.51996E-07,0.007339341,0.872801093
113,8.59542229,-15.70589133,-4.875839696,-0.1444013,0.044337419,0.050615624,,1.51014E-07,0.007628686,0.865540337
114,8.522057655,-15.6776798,-4.917447657,-0.120260923,0.04411658,0.043998,,1.55335E-07,0.007317785,0.886689049
115,8.589074635,-15.69840218,-4.923139656,-0.143418291,0.043756029,0.09156828,,1.5215E-07,0.00727625,0.866391589
116,8.556457764,-15.68458838,-4.902226139,-0.163546769,0.046413974,0.04814574,,1.54266E-07,0.007430024,0.849126785
117,8.607587632,-15.66996239,-4.911075734,-0.125051838,0.047267574,0.142049262,,1.56539E-07,0.007364562,0.882451157
118,8.519661793,-15.70578983,-4.911066996,-0.143012643,0.045921714,0.018030654,,1.5103E-07,0.007364626,0.86674311
119,8.59106449,-15.72944429,-4.95036323,-0.151936543,0.047223139,0.01356166,,1.47499E-07,0.007080836,0.859042791
120,8.477562241,-15.72523829,-4.938280173,-0.148496201,0.04346439,0.090728289,,1.48121E-07,0.007166914,0.862003282
121,8.508497802,-15.72499955,-4.920209565,-0.153597233,0.04616003,0.051984708,,1.48156E-07,0.007297601,0.857617371
122,8.690752825,-15.68687892,-4.932815708,-0.12523178,0.04555615,0.010579662,,1.53913E-07,0.007206184,0.882292381
123,8.552288217,-15.66794057,-4.916707839,-0.124043547,0.043754338,0.029149425,,1.56856E-07,0.0073232,0.883341373
124,8.557372396,-15.70551358,-4.873909882,-0.156770827,0.044485745,0.11581618,,1.51071E-07,0.007643422,0.854899957
125,8.609068898,-15.71466861,-4.875664078,-0.160548197,0.048918196,0.032844621,,1.49695E-07,0.007630026,0.851676775
126,8.616627145,-15.68682722,-4.923012271,-0.132236629,0.042783655,0.06003298,,1.53921E-07,0.007277177,0.876133652
127,8.644837486,-15.73138256,-4.900321414,-0.139634691,0.047081254,0.032951671,,1.47213E-07,0.00744419,0.869675878
128,8.476737739,-15.69801484,-4.908831382,-0.143168103,0.046022619,0.072328646,,1.52208E-07,0.007381109,0.866608377
129,8.562486586,-15.70676229,-4.911880258,-0.127287596,0.046846496,0.081340468,,1.50883E-07,0.007358639,0.880480413
130,8.571577511,-15.69770463,-4.870490847,-0.117471422,0.045868312,0.019499628,,1.52256E-07,0.0076696,0.889165922
131,8.487316603,-15.68536747,-4.904932973,-0.16228256,0.047770279,0.018408945,,1.54146E-07,0.00740994,0.850200938
132,8.512005259,-15.70701792,-4.915109509,-0.148544288,0.045080033,0.082701146,,1.50844E-07,0.007334915,0.861961832
133,8.4520271,-15.65968066,-4.907098451,-0.140589664,0.046771361,0.03431934,,1.58157E-07,0.007393911,0.868845757
134,8.568673321,-15.70484879,-4.905431571,-0.144138164,0.046144133,0.046417048,,1.51172E-07,0.007406246,0.865768122
