,F,V,R0,eta,gamma,alpha,,vexp,R0exp,etaexp
0,2.853793291,-15.64466498,-4.881064792,-0.134090099,0.040735561,0.027741399,,1.60549E-07,0.007588929,0.874511268
1,2.88424171,-15.66961831,-4.886379246,-0.159150214,0.047659735,0.001894714,,1.56593E-07,0.007548705,0.852868237
2,2.92851783,-15.6964673,-4.897931022,-0.154000755,0.046448176,0.018210628,,1.52444E-07,0.007462006,0.857271374
3,2.872473786,-15.68399588,-4.892587391,-0.159845923,0.046228765,0.021605307,,1.54357E-07,0.007501987,0.852275095
4,2.836884273,-15.64525469,-4.886761729,-0.131348961,0.038042823,0.028380252,,1.60455E-07,0.007545818,0.876911713
5,2.881269108,-15.66015544,-4.87225847,-0.1379344,0.043880696,0.008789429,,1.58081E-07,0.007656055,0.871155837
6,2.844860324,-15.66104368,-4.890625085,-0.150559251,0.040325042,0.033589628,,1.57941E-07,0.007516722,0.86022676
7,2.923657206,-15.66923611,-4.879323661,-0.158803234,0.046006294,0.026858372,,1.56652E-07,0.007602154,0.853164216
8,2.923950119,-15.65318541,-4.875192248,-0.147145051,0.044267274,0.037929326,,1.59187E-07,0.007633627,0.863168765
9,3.003797802,-15.6897551,-4.896558811,-0.144819796,0.040488698,0.031803263,,1.53471E-07,0.007472252,0.865178187
10,2.924083937,-15.65704065,-4.884457386,-0.13360898,0.043663826,0.030948325,,1.58575E-07,0.007563227,0.874932113
11,2.830730552,-15.65553567,-4.893760091,-0.143721773,0.04670256,0.037455702,,1.58813E-07,0.007493194,0.866128695
12,2.890732274,-15.66844566,-4.897019702,-0.1325552,0.041383203,0.00710334,,1.56776E-07,0.007468809,0.875854586
13,3.016224878,-15.7067312,-4.890037643,-0.162483462,0.045105249,0.006127842,,1.50888E-07,0.007521139,0.850030148
14,2.898840133,-15.68216627,-4.894649618,-0.134214516,0.045399529,0.013670459,,1.5464E-07,0.007486532,0.874402471
15,2.880201114,-15.67890339,-4.89285186,-0.140646773,0.043814952,0.026526183,,1.55145E-07,0.007500003,0.86879614
16,2.893061017,-15.6639153,-4.889988485,-0.157280948,0.040628598,0.026947523,,1.57488E-07,0.007521509,0.854463965
17,2.936889633,-15.69496639,-4.91021241,-0.145088792,0.045209866,0.024694739,,1.52673E-07,0.007370923,0.86494549
18,2.876065856,-15.67740528,-4.899159189,-0.14749019,0.047353159,0.021592325,,1.55378E-07,0.007452847,0.862870903
19,2.914010505,-15.65301387,-4.889090523,-0.132476625,0.043159167,0.017672362,,1.59214E-07,0.007528266,0.875923408
20,2.878365417,-15.65137534,-4.874990766,-0.140579408,0.045494965,0.022042758,,1.59476E-07,0.007635165,0.868854668
21,2.944230863,-15.65747878,-4.878558428,-0.130158604,0.047870093,0.025686374,,1.58505E-07,0.007607974,0.877956172
22,2.943861462,-15.63518478,-4.887093496,-0.127120231,0.045542151,0.065477408,,1.62079E-07,0.007543315,0.880627788
23,2.83621071,-15.65437618,-4.89149581,-0.159976614,0.046381333,0.008609546,,1.58998E-07,0.00751018,0.852163717
24,2.827785282,-15.63136817,-4.889126746,-0.107536807,0.043201511,0.021661509,,1.62698E-07,0.007527993,0.898043467
25,2.950250327,-15.69006653,-4.889756382,-0.152441877,0.045068093,0.004591074,,1.53423E-07,0.007523255,0.858608798
26,2.873924197,-15.65252437,-4.892326532,-0.131866633,0.043332035,0.022136526,,1.59292E-07,0.007503944,0.876457878
