Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Radius_1,Radius_2,Radius_3,Radius_4,Radius_5,Radius_6,Radius_7,Radius_8,Radius_9,Radius_10,meanRadius,stdRadius
0,0,0,0,0,0,0,0,0,0,0.007353101,0.007398698,0.007397862,0.007555421,0.007640965,0.007709641,0.007498973,0.007847178,0.007625789,0.007458134,0.007548576,0.000157649
0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.012765155,0.013196434,0.012346479,0.012254977,0.012848422,0.012848241,0.0125458,0.012714484,0.012526584,0.012579344,0.012662592,0.000273322
0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.013610555,0.013943672,0.013201754,0.013170278,0.013572886,0.013598542,0.013367735,0.013506389,0.013386504,0.013207809,0.013456613,0.000240075
0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.014475831,0.014635534,0.014041092,0.014097082,0.014289834,0.014354129,0.014172232,0.01421544,0.014161558,0.013818905,0.014226164,0.000229569
0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.015341984,0.015398058,0.014911572,0.01495209,0.01505516,0.015238673,0.015033775,0.01501212,0.014958993,0.014526671,0.01504291,0.000248131
0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.016185794,0.016188157,0.015650947,0.01578936,0.015777171,0.015983824,0.01575234,0.015695883,0.015734778,0.015230253,0.015798851,0.00027851
0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.017040909,0.017026271,0.016547621,0.016677439,0.016613217,0.016874504,0.01660467,0.016531835,0.01659747,0.016051289,0.016656522,0.000285616
0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.017891926,0.017848854,0.017370846,0.017521581,0.017479407,0.017689544,0.017462459,0.01736342,0.017408344,0.016834583,0.017487096,0.000297841
1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,0.018811982,0.018773864,0.018292773,0.018463171,0.018371402,0.018575601,0.018381631,0.018302678,0.018310984,0.017714648,0.018399873,0.000306247
1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,0.019777831,0.019746322,0.019244203,0.019429424,0.019279016,0.01957916,0.019340858,0.01920805,0.019310301,0.018622902,0.019353807,0.000327533
2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,0.02080386,0.020726041,0.020211371,0.020432804,0.020325843,0.020587256,0.020313554,0.020201734,0.020278444,0.019599831,0.020348074,0.000336896
4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,0.021797603,0.021816111,0.021237502,0.021491581,0.021364032,0.021671482,0.021374146,0.021292152,0.021364467,0.020592321,0.02140014,0.000350703
6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,0.022831001,0.022866463,0.022333483,0.022659281,0.022493819,0.022812821,0.022496458,0.022409738,0.022462323,0.02170418,0.022506957,0.000339489
9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,0.023905739,0.023985076,0.023378026,0.023848417,0.023686701,0.024040274,0.023668668,0.023596755,0.023680983,0.022870322,0.023666096,0.000342236
13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,0.024982724,0.025096194,0.024488023,0.025070876,0.024909715,0.025330157,0.024910006,0.024881762,0.024967054,0.024084434,0.024872095,0.000348278
20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,0.026086762,0.026239184,0.025645961,0.026180528,0.026116575,0.026646831,0.026168105,0.026204559,0.026341411,0.025340769,0.026097069,0.00036235
30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,0.027214168,0.027410837,0.026777059,0.027213217,0.027262905,0.027995733,0.027439026,0.027514673,0.027692326,0.026756341,0.027327628,0.000379083
