Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Radius_1,Radius_2,Radius_3,Radius_4,Radius_5,Radius_6,Radius_7,Radius_8,Radius_9,Radius_10,meanRadius,stdRadius
0,0,0,0,0,0,0,0,0,0,0.008068304,0.008325557,0.007776892,0.008408085,0.008126893,0.008238473,0.00851393,0.007754216,0.008703086,0.00823109,0.008214653,0.000300267
0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.014659109,0.014632213,0.014050352,0.014669469,0.014489973,0.013850334,0.01460222,0.014346515,0.015089742,0.014502079,0.014489201,0.000345849
0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.015459318,0.015363436,0.014810688,0.01550784,0.015355827,0.014853801,0.015563352,0.015054698,0.015903825,0.015312544,0.015318533,0.000334181
0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.016368828,0.016168049,0.015618459,0.016282944,0.016142791,0.015793222,0.016419779,0.015801776,0.016744691,0.01615339,0.016149393,0.000337222
0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.017318721,0.017091989,0.016533732,0.01711352,0.01703862,0.016769393,0.017338816,0.016691386,0.0176816,0.017077289,0.017065507,0.000338737
0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.018082116,0.017915383,0.017414673,0.018004575,0.017921935,0.017629048,0.018237403,0.017481053,0.01851829,0.017942695,0.017914717,0.000337486
0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.019146163,0.018905933,0.018319635,0.018952977,0.01889017,0.018610222,0.019197561,0.018436619,0.01954017,0.018926723,0.018892617,0.00036478
0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.020067161,0.019853654,0.019255714,0.019923175,0.019820133,0.019549394,0.020174454,0.019331849,0.020477477,0.019890939,0.019834395,0.000374712
1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,0.021106881,0.020878089,0.020287754,0.020949375,0.020844062,0.020618696,0.021215239,0.020341347,0.021559207,0.020938571,0.020873922,0.00038637
1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,0.022256366,0.021968944,0.021343118,0.022032002,0.021963432,0.021711064,0.022330868,0.021406584,0.02268885,0.022021846,0.021972307,0.000410009
