Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Radius_1,Radius_2,Radius_3,Radius_4,Radius_5,Radius_6,Radius_7,Radius_8,Radius_9,Radius_10,meanRadius,stdRadius
0,0,0,0,0,0,0,0,0,0,0.011520829,0.011183596,0.010388932,0.012747327,0.012057402,0.011838871,0.011967705,0.011854143,0.012398025,0.01221625,0.011817308,0.000664426
0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.012848353,0.012372456,0.011728311,0.013678613,0.012986943,0.012810365,0.012938226,0.01278274,0.013349371,0.013313982,0.012880936,0.000543706
0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.013127943,0.012566645,0.012006187,0.013885128,0.013102289,0.013046325,0.013193183,0.012968986,0.013592804,0.01354894,0.013103843,0.000534487
0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.013448538,0.013090151,0.012347894,0.014133475,0.013520413,0.013328158,0.01348024,0.013155536,0.013894147,0.013766095,0.013416465,0.000494933
0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.013882502,0.013525432,0.012808639,0.014633065,0.01399747,0.013879169,0.013832435,0.013645438,0.014342799,0.014076635,0.013862359,0.000490064
0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.014532811,0.013964236,0.013278317,0.015082183,0.014487927,0.014332111,0.014302072,0.014113308,0.014714532,0.014637458,0.014344496,0.000489865
0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.015030431,0.014570871,0.013882763,0.015604373,0.015057936,0.014824515,0.014914928,0.014473952,0.015335139,0.015134314,0.014882922,0.000484191
0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.015789971,0.015110252,0.014402102,0.016123271,0.015624842,0.015403772,0.015492144,0.015147362,0.015874318,0.015698254,0.015466629,0.000488464
1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,0.016467724,0.015682673,0.015051022,0.016779772,0.016234086,0.016071425,0.016223208,0.015975452,0.016512184,0.016328574,0.016132612,0.000486806
1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,0.017274188,0.016367448,0.015598282,0.017419767,0.016881826,0.016794023,0.016936298,0.016688539,0.017136433,0.016966822,0.016806363,0.000518388
